generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,api_key_disabled,api_key_name,app_name
gen-1788566341-ucopsY75tqGYHYpV0umo,2026-09-04 23:59:01.186,0.001012,,-0.002734,,0,56040,578,59,55808,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,2705,791,false,hermes-ppn,Hermes Agent
gen-1788566335-cbMAHoz6g0gjaa8v8DbQ,2026-09-04 23:58:55.991,0.001099,,-0.002659,,0,54884,1063,511,54272,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,4931,458,false,hermes-ppn,Hermes Agent
gen-1788566333-bjxwGIlj8GLMRxtL6bAI,2026-09-04 23:58:53.308,0.000937,,-0.002634,,0,54059,320,83,53760,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,1683,775,false,hermes-ppn,Hermes Agent
gen-1788566330-gt03sQ9tXrXSzMVsxrQZ,2026-09-04 23:58:50.723,0.001205,,-0.002333,,0,53495,343,179,47616,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,2216,767,false,hermes-ppn,Hermes Agent
gen-1788566326-e74OmhyOvRudh5p6JW3U,2026-09-04 23:58:46.283,0.000975,,-0.002245,,0,47646,690,364,45824,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,2834,827,false,hermes-ppn,Hermes Agent
gen-1788566268-sfkLbvR2mUB5pqaVkji0,2026-09-04 23:57:48.831,0.001967,,-0.001116,,0,44986,886,611,22784,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,4467,1422,false,hermes-ppn,Hermes Agent
gen-1788566250-1p0hqaHjXvMhrXqj0kFJ,2026-09-04 23:57:30.638,0.000595,,-0.000953,,0,22274,561,310,19456,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,3126,657,false,hermes-ppn,Hermes Agent
gen-1788566248-URU6MYdLy2a1HiP73r8T,2026-09-04 23:57:28.077,0.000497,,-0.000827,,0,19284,398,243,16896,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,2058,1156,false,hermes-ppn,Hermes Agent
gen-1788566244-U7njB8DSswMnnzTtW9Qg,2026-09-04 23:57:24.170,0.001156,,,,0,16536,451,366,0,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,3000,1066,false,hermes-ppn,Hermes Agent
gen-1788563256-guvYccfZaTFcMPQCtU5I,2026-09-04 23:07:36.925,0.009548,,,,0,143650,1174,655,0,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,stop,stop,23665,9541,false,hermes-ppn,Hermes Agent
